fielddate	CPI_M_CHI	WAG_M	WAG_C_M	IP2_EA_M	UNEMPL_M_SH	RTRD_M_DIRI	RTRD_M	INVFC_M	IM_T_M	USD	EUR	RTS_LAST_VALUE	RTS_CLOSE_MEAN	RTS_TRADING_VOLUME_MEAN	DEP_FIZ	IPOT_CNT	IPOT_VOLUME	IPOT_DEBT
2004-07	100.9	120.55	6982.0		7.4	152.1	459.8	236.8	8.4	29.081926086956525	35.67298695652173	540.27	568.4231818181819	16738476.227272727				
2004-08	100.4	118.38	6873.0		7.3	156.6	475.4	270.5	8.3	29.21928571428571	35.6283619047619	584.65	553.625	12597704.409090908				
2004-09	100.4	118.74	6918.0		7.7	158.4	483.9	276.0	8.3	29.22208181818182	35.66098636363636	631.65	611.0400000000001	11921464.136363637				
2004-10	101.1	117.31	6908.0		8.0	164.7	508.6	264.9	8.9	29.070299999999996	36.28716363636364	663.67	664.0076190476191	22422348.23809524				
2004-11	101.1	118.37	7046.0		8.4	167.0	521.2	290.9	9.4	28.591185000000003	37.07927	627.98	657.3842857142859	16739601.666666666				
2004-12	101.1	146.18	8799.0		8.3	193.0	609.5	457.4	11.2	27.904027272727273	37.389568181818184	614.11	585.2063636363636	16604941.318181818				
2005-01	102.6	118.26	7346.0		8.3	151.5	485.6	148.1	6.9	28.009086666666658	36.719253333333334	637.21	607.7686666666666	11908788.285714285				
2005-02	101.2	118.74	7465.0		8.3	151.4	488.7	184.5	8.3	27.995394736842105	36.380994736842105	716.42	665.4405263157893	21931679.05263158				
2005-03	101.3	127.17	8093.0		8.0	164.4	536.2	207.9	10.0	27.626422727272725	36.46970454545454	669.07	688.9909090909093	16513821.545454545				
2005-04	101.1	124.5	8002.0		7.6	167.7	553.1	212.6	9.5	27.810354545454548	35.99349090909091	670.36	688.8766666666667	16558090.857142856				
2005-05	100.8	124.74	8089.0		7.3	167.9	559.4	250.6	9.5	27.95137777777778	35.48470555555555	674.44	657.7355	10181114.85				
2005-06	100.6	132.85	8637.0		7.3	167.0	561.6	313.1	9.9	28.49786666666666	34.72522380952381	706.38	686.0419047619048	20747303.61904762				
2005-07	100.5	132.19	8651.0		7.2	171.9	580.6	306.5	10.7	28.69443181818182	34.56811363636364	778.93	752.1828571428572	28290654.285714287				
2005-08	99.9	132.98	8616.0		7.1	177.5	600.6	336.8	10.6	28.479809090909086	35.01528181818183	882.03	832.5621739130435	40991611.56521739				
2005-09	100.3	135.91	8829.0		7.2	180.6	614.9	350.3	10.7	28.38001363636364	34.80833181818182	1007.76	931.473181818182	54436183.13636363				
2005-10	100.6	133.46	8701.0		7.3	186.3	638.6	332.4	11.5	28.563133333333326	34.33768571428571	934.99	939.712380952381	49770270.85714286				
2005-11	100.7	135.86	8931.0		7.5	187.8	648.0	382.5	12.3	28.762576190476196	33.951385714285706	1037.26	998.6133333333332	37049857.333333336				
2005-12	100.8	170.78	11319.0		7.7	222.0	771.0	585.8	13.8	28.804599999999997	34.16165217391303	1125.6	1100.0386363636367	31090638.818181816				
2006-01	102.4	131.16	9016.0		7.7	168.7	593.3	176.3	8.3	28.228133333333336	34.29327333333333	1315.96	1283.5837500000002	68449365.8125				
2006-02	101.7	132.47	9255.0		7.9	167.5	598.4	217.5	10.1	28.1946052631579	33.73298421052632	1453.44	1393.6631578947365	46634145.684210524				
2006-03	100.8	140.68	9914.0		7.8	184.0	661.5	264.6	12.4	27.87377272727273	33.49191363636364	1434.99	1412.6131818181818	71113087.77272727				
2006-04	100.4	139.28	9833.0		7.6	187.8	677.3	267.8	11.4	27.564476190476192	33.767357142857136	1657.28	1571.1445	102066185.9				
2006-05	100.5	144.43	10257.0		7.5	189.9	687.6	340.6	12.9	27.052744999999998	34.529695000000004	1461.22	1568.735238095238	83836007.42857143				
2006-06	100.3	155.99	11106.0		7.2	192.7	698.8	409.2	14.5	26.983447619047617	34.209261904761895	1494.63	1391.3257142857142	46771938.71428572				
2006-07	100.7	152.55	10883.0		6.9	198.7	724.0	381.5	13.5	26.91582380952381	34.155361904761904	1551.09	1516.450476190476	30407374.95238095				
2006-08	100.2	152.1	10853.0		6.5	204.9	750.1	437.6	14.2	26.761921739130432	34.27365652173913	1626.69	1628.785652173913	40954886.39130435				
2006-09	100.1	155.75	11127.0		6.6	206.5	758.4	468.2	14.3	26.746340909090907	34.087095454545455	1549.99	1560.6409523809523	36123609.23809524				
2006-10	100.3	154.5	11046.0		6.7	215.0	791.9	462.9	15.8	26.867204761904766	33.88909523809524	1613.57	1596.053181818182	41235831.40909091				
2006-11	100.6	157.28	11303.0		6.7	215.2	797.2	508.6	16.2	26.617409523809524	34.235299999999995	1776.68	1699.030476190476	55981633.333333336				
2006-12	100.8	196.92	14263.0		6.9	256.3	954.9	795.2	19.6	26.288154545454542	34.72920454545455	1921.92	1849.2261904761908	52115021.428571425				
2007-01	101.7	156.75	11430.0		7.1	193.5	727.6	255.3	11.7	26.529043750000003	34.389149999999994	1842.93	1829.894705882353	54658081.52941176				
2007-02	101.1	159.41	11757.0		7.2	192.5	728.3	298.0	14.1	26.343289473684205	34.40782631578948	1858.14	1898.075789473684	52287353.94736842				
2007-03	100.6	168.02	12448.0		6.8	210.8	801.4	344.3	16.9	26.10559545454545	34.57291818181819	1935.72	1841.6857142857143	50037830.952380955				
2007-04	100.6	167.51	12494.0		6.4	216.1	826.0	364.5	16.7	25.83835714285714	34.891914285714286	1935.51	1959.4847619047623	47507974.333333336				
2007-05	100.6	170.53	12787.0		5.9	220.2	846.9	472.2	17.5	25.824049999999993	34.90996	1780.33	1843.9176190476196	41376048.9047619				
2007-06	101.0	181.27	13712.0		5.8	224.0	869.0	577.7	18.5	25.90930000000001	34.77530476190476	1897.7	1859.6985	47053207.9				
2007-07	100.9	177.65	13546.0		5.7	230.7	902.9	543.1	19.3	25.540752380952387	35.02983333333333	1993.96	2010.649545454546	59476223.59090909				
2007-08	100.1	173.92	13270.0		5.6	240.4	942.3	584.2	20.0	25.62369130434783	34.89836521739131	1919.89	1900.6739130434785	56424328.39130435				
2007-09	100.8	177.92	13677.0		5.6	241.1	953.2	616.8	18.7	25.334071428571427	35.15853809523809	2071.8	1964.4740000000002	54309508.45				
2007-10	101.6	179.16	13986.0		5.6	249.0	1003.9	684.7	22.2	24.89621363636364	35.392877272727276	2223.06	2144.7565217391307	63392475.69565217				
2007-11	101.2	185.43	14656.0		5.7	250.5	1023.2	740.4	22.6	24.46509523809524	35.911390476190476	2220.11	2207.278095238095	61527899.47619048				
